                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.53585,                0.63054,                 1.4052,                0.88065,                 0.9911,                0.99225,                0.99489,                0.95477,                0.99088,                0.99203,                0.99473,                0.88245,                0.31319,                0.27068,                0.43565,                0.79323,             0.00041528,             0.00041528,             0.00041528
                      2,                0.34943,                0.28094,                0.47443,                0.81107,                0.99905,                0.99956,                  0.995,                0.96884,                0.99897,                0.99948,                0.99499,                0.90983,                0.26276,                0.21017,                0.33296,                0.78572,             0.00074958,             0.00074958,             0.00074958
                      3,                0.32246,                0.24422,                0.40432,                0.80432,                0.99916,                0.99924,                  0.995,                 0.9742,                0.99916,                0.99924,                  0.995,                0.92119,                0.25233,                0.18012,                0.29571,                0.78329,              0.0010014,              0.0010014,              0.0010014
                      4,                0.30299,                0.22951,                0.36499,                0.80079,                0.99969,                0.99983,                  0.995,                0.98168,                0.99969,                0.99983,                  0.995,                0.93679,                 0.2129,                 0.1623,                0.25973,                0.77764,             0.00087875,             0.00087875,             0.00087875
                      5,                0.28001,                 0.2084,                0.33277,                0.79634,                0.99956,                0.99979,                  0.995,                0.98067,                0.99956,                0.99979,                  0.995,                0.92482,                0.20884,                0.16027,                0.24643,                0.77666,               0.000755,               0.000755,               0.000755
                      6,                0.24667,                0.19191,                0.30535,                 0.7905,                0.99984,                0.99994,                  0.995,                0.98673,                0.99984,                0.99994,                  0.995,                0.94309,                0.18263,                0.14857,                0.22633,                0.77302,             0.00063125,             0.00063125,             0.00063125
                      7,                0.23705,                 0.1896,                0.29046,                0.78892,                0.99985,                0.99997,                  0.995,                0.98745,                0.99985,                0.99997,                  0.995,                0.93896,                0.17204,                0.13887,                0.21225,                0.77122,              0.0005075,              0.0005075,              0.0005075
                      8,                0.22068,                 0.1819,                0.27202,                0.78692,                0.99971,                0.99997,                  0.995,                0.98895,                0.99971,                0.99997,                  0.995,                0.93874,                0.16379,                0.13813,                0.20012,                0.76993,             0.00038375,             0.00038375,             0.00038375
                      9,                0.21046,                0.17701,                0.25931,                0.78516,                0.99989,                      1,                  0.995,                0.99031,                0.99989,                      1,                  0.995,                0.94613,                0.15361,                0.13088,                0.19416,                0.76913,                0.00026,                0.00026,                0.00026
                     10,                0.19675,                 0.1697,                0.24695,                0.78522,                0.99987,                0.99993,                  0.995,                 0.9915,                0.99987,                0.99993,                  0.995,                0.94711,                0.14156,                  0.127,                0.18278,                0.76817,             0.00013625,             0.00013625,             0.00013625
